Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
8.43	23.01783836153918	23.25	23.375	23.1875	22.892009735107422
12.28	23.01783836153918	23.25	23.375	23.1875	22.892009735107422
16.0	23.02296890951693	23.25	23.375	23.1875	22.892009735107422
19.75	23.02809945778572	23.25	23.375	23.1875	22.892009735107422
23.51	23.033230006345548	23.1875	23.375	23.1875	22.892009735107422
27.3	23.02296890951693	23.25	23.375	23.1875	22.892009735107422
31.04	23.033230006345548	23.3125	23.375	23.1875	22.892009735107422
34.79	23.04862165377126	23.25	23.375	23.1875	22.892009735107422
38.56	23.04349110433832	23.3125	23.375	23.1875	22.892009735107422
42.34	23.053752203495243	23.25	23.375	23.1875	22.892009735107422
46.11	23.05888275351026	23.25	23.375	23.1875	22.892009735107422
49.85	23.053752203495243	23.25	23.375	23.1875	22.892009735107422
53.62	23.04349110433832	23.25	23.375	23.1875	22.892009735107422
57.36	23.04349110433832	23.25	23.375	23.1875	22.903432846069336
61.12	23.04349110433832	23.25	23.375	23.1875	22.903432846069336
64.89	23.053752203495243	23.3125	23.375	23.1875	22.903432846069336
68.65	23.04349110433832	23.25	23.375	23.1875	22.903432846069336
72.42	23.038360555196412	23.25	23.375	23.1875	22.903432846069336
76.26	23.033230006345548	23.25	23.375	23.1875	22.903432846069336
80.03	23.033230006345548	23.25	23.375	23.1875	22.903432846069336
83.76	23.033230006345548	23.25	23.375	23.1875	22.903432846069336
87.52	23.04349110433832	23.25	23.375	23.1875	22.903432846069336
91.28	23.033230006345548	23.25	23.375	23.1875	22.903432846069336
95.05	23.04349110433832	23.25	23.375	23.1875	22.903432846069336
98.81	23.053752203495243	23.25	23.375	23.1875	22.903432846069336
102.57	23.033230006345548	23.25	23.375	23.1875	22.903432846069336
106.32	23.033230006345548	23.25	23.375	23.1875	22.903432846069336
110.11	23.02296890951693	23.3125	23.375	23.1875	22.903432846069336
113.86	23.01783836153918	23.25	23.375	23.1875	22.903432846069336
117.63	23.02809945778572	23.25	23.375	23.1875	22.903432846069336
121.38	23.02296890951693	23.25	23.375	23.1875	22.903432846069336
