Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
5.41	23.448805406229802	23.6875	23.6875	23.5625	23.367321014404297
9.3	23.428283119440312	23.6875	23.6875	23.5625	23.367321014404297
13.04	23.433413690701126	23.6875	23.6875	23.625	23.367321014404297
16.78	23.438544262252982	23.75	23.6875	23.625	23.367321014404297
20.62	23.433413690701126	23.6875	23.6875	23.5625	23.367321014404297
24.41	23.433413690701126	23.6875	23.6875	23.625	23.367321014404297
28.15	23.438544262252982	23.6875	23.6875	23.625	23.367321014404297
31.92	23.433413690701126	23.6875	23.6875	23.625	23.367321014404297
35.66	23.418021977791796	23.6875	23.6875	23.625	23.367321014404297
39.43	23.418021977791796	23.6875	23.6875	23.625	23.363658905029297
43.19	23.412891407404096	23.6875	23.6875	23.625	23.363658905029297
46.98	23.407760837307432	23.6875	23.6875	23.625	23.363658905029297
50.7	23.407760837307432	23.6875	23.6875	23.625	23.363658905029297
54.49	23.40263026750181	23.625	23.6875	23.625	23.363658905029297
58.25	23.412891407404096	23.6875	23.6875	23.625	23.363658905029297
62.02	23.412891407404096	23.6875	23.6875	23.625	23.363658905029297
65.77	23.407760837307432	23.625	23.6875	23.625	23.363658905029297
69.53	23.392369128763676	23.6875	23.6875	23.625	23.363658905029297
73.28	23.392369128763676	23.6875	23.6875	23.625	23.363658905029297
77.04	23.39749969798722	23.75	23.6875	23.625	23.363658905029297
80.8	23.39749969798722	23.75	23.6875	23.625	23.363658905029297
84.54	23.40263026750181	23.75	23.6875	23.625	23.363658905029297
88.3	23.40263026750181	23.6875	23.6875	23.625	23.363658905029297
92.07	23.407760837307432	23.625	23.6875	23.625	23.363658905029297
95.82	23.40263026750181	23.75	23.6875	23.625	23.363658905029297
99.58	23.40263026750181	23.6875	23.6875	23.625	23.363658905029297
103.35	23.392369128763676	23.75	23.6875	23.5625	23.363658905029297
107.1	23.382107991189695	23.6875	23.6875	23.625	23.363658905029297
110.98	23.376977422839264	23.75	23.6875	23.5625	23.363658905029297
114.71	23.382107991189695	23.6875	23.6875	23.625	23.363658905029297
118.49	23.366716287011513	23.6875	23.6875	23.625	23.363658905029297
122.26	23.382107991189695	23.6875	23.6875	23.625	23.363658905029297
125.99	23.382107991189695	23.6875	23.6875	23.625	23.363658905029297
129.76	23.34106345253531	23.6875	23.6875	23.5625	23.363658905029297
133.56	23.335932886513184	23.6875	23.6875	23.5625	23.363658905029297
137.39	23.320541190193033	23.6875	23.6875	23.625	23.363658905029297
141.13	23.330802320782094	23.6875	23.6875	23.5625	23.363658905029297
144.86	23.330802320782094	23.75	23.6875	23.5625	23.363658905029297
148.62	23.315410625335062	23.75	23.6875	23.625	23.363658905029297
152.42	23.34106345253531	23.75	23.6875	23.625	23.363658905029297
156.17	23.330802320782094	23.6875	23.625	23.625	23.359996795654297
159.91	23.320541190193033	23.6875	23.6875	23.625	23.359996795654297
163.65	23.320541190193033	23.6875	23.6875	23.625	23.359996795654297
167.42	23.320541190193033	23.75	23.6875	23.625	23.359996795654297
171.2	23.300018932507374	23.75	23.6875	23.5625	23.359996795654297
174.97	23.300018932507374	23.6875	23.625	23.5625	23.359996795654297
178.71	23.300018932507374	23.6875	23.625	23.5625	23.359996795654297
182.48	23.300018932507374	23.6875	23.625	23.5625	23.359996795654297
186.22	23.28462724229903	23.6875	23.625	23.5625	23.359996795654297
190.01	23.300018932507374	23.6875	23.625	23.5625	23.359996795654297
193.85	23.300018932507374	23.6875	23.625	23.5625	23.359996795654297
197.62	23.289757805410773	23.6875	23.625	23.5625	23.359996795654297
201.36	23.289757805410773	23.6875	23.625	23.5625	23.359996795654297
205.14	23.26923555471003	23.6875	23.625	23.5625	23.359996795654297
208.89	23.253843869740376	23.6875	23.625	23.5625	23.359996795654297
212.69	23.25897443110589	23.75	23.625	23.5625	23.359996795654297
216.48	23.26923555471003	23.6875	23.625	23.5625	23.37506866455078
220.25	23.253843869740376	23.6875	23.625	23.5625	23.37506866455078
223.99	23.25897443110589	23.6875	23.625	23.5	23.37506866455078
227.77	23.238452187390067	23.75	23.625	23.5	23.37506866455078
231.58	23.248713308665902	23.75	23.5625	23.5	23.37506866455078
235.35	23.248713308665902	23.6875	23.5625	23.5	23.37506866455078
239.1	23.26923555471003	23.6875	23.5625	23.5	23.37506866455078
242.89	23.279496679478324	23.75	23.5625	23.5	23.37506866455078
246.67	23.294888368813552	23.75	23.5625	23.5	23.37506866455078
250.39	23.28462724229903	23.6875	23.5625	23.5	23.37506866455078
254.16	23.26923555471003	23.6875	23.5625	23.5	23.37506866455078
257.92	23.26923555471003	23.6875	23.5625	23.5	23.37506866455078
261.68	23.279496679478324	23.75	23.5625	23.5	23.37506866455078
265.46	23.289757805410773	23.75	23.5625	23.5	23.37506866455078
269.2	23.26923555471003	23.6875	23.5625	23.4375	23.37506866455078
272.98	23.279496679478324	23.6875	23.5625	23.4375	23.356334686279297
276.72	23.30514949649223	23.75	23.5625	23.4375	23.356334686279297
280.5	23.320541190193033	23.75	24.625	23.4375	23.356334686279297
284.36	23.320541190193033	23.6875	25.0	23.4375	23.356334686279297
288.19	23.325671755342047	23.75	25.375	23.5	23.356334686279297
291.97	23.31028006076813	23.75	25.5625	23.5	23.356334686279297
295.8	23.300018932507374	23.6875	25.75	23.5	23.356334686279297
299.62	23.300018932507374	23.6875	25.9375	23.5	23.356334686279297
303.39	23.289757805410773	23.75	26.125	23.5	23.356334686279297
307.2	23.300018932507374	23.75	26.3125	23.5	23.356334686279297
311.03	23.300018932507374	23.75	26.4375	23.5	23.356334686279297
314.92	23.30514949649223	23.6875	26.5625	23.5	23.356334686279297
318.75	23.315410625335062	23.6875	26.625	23.5625	23.356334686279297
322.55	23.30514949649223	23.75	26.6875	23.5	23.356334686279297
326.34	23.294888368813552	23.75	26.75	23.5625	23.356334686279297
330.1	23.300018932507374	23.75	26.75	23.5	23.356334686279297
333.82	23.31028006076813	23.6875	26.8125	23.5625	23.37140464782715
337.64	23.320541190193033	23.75	26.875	23.5625	23.37140464782715
341.49	23.315410625335062	23.75	26.875	23.5625	23.37140464782715
345.28	23.294888368813552	23.75	26.875	23.5625	23.37140464782715
349.05	23.300018932507374	23.75	26.8125	23.5625	23.37140464782715
352.8	23.320541190193033	23.75	26.75	23.5625	23.37140464782715
356.6	23.31028006076813	23.75	26.8125	23.5625	23.37140464782715
360.29	23.320541190193033	23.8125	26.75	23.5625	23.37140464782715
364.11	23.320541190193033	23.75	26.75	23.5625	23.37140464782715
367.84	23.320541190193033	23.75	26.75	23.5625	23.37140464782715
371.61	23.325671755342047	23.75	26.75	23.5625	23.37140464782715
