Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
7.06	24.633975367830136	24.9375	24.875	24.625	24.91187858581543
10.98	24.633975367830136	24.9375	24.875	24.6875	24.91187858581543
14.74	24.6493672876677	25.0625	24.875	24.6875	24.91187858581543
18.58	24.618583450611915	25.0	24.875	24.6875	24.908199310302734
22.42	24.633975367830136	25.0	24.875	24.6875	24.908199310302734
26.2	24.623714089393616	25.0	24.875	24.6875	24.908199310302734
29.96	24.61345281212125	25.0	24.875	24.6875	24.908199310302734
33.74	24.59293026106898	25.0	24.875	24.6875	24.908199310302734
37.58	24.618583450611915	25.0	24.875	24.6875	24.908199310302734
41.34	24.623714089393616	25.0	24.875	24.6875	24.908199310302734
45.19	24.64423664743081	25.0	24.875	24.6875	24.908199310302734
49.01	24.633975367830136	25.0	24.875	24.6875	24.908199310302734
52.78	24.623714089393616	25.0	24.875	24.6875	24.908199310302734
56.52	24.628844728466355	25.0625	24.875	24.6875	24.908199310302734
60.31	24.623714089393616	25.0625	24.875	24.6875	24.908199310302734
64.15	24.633975367830136	24.9375	24.875	24.6875	24.908199310302734
67.97	24.6493672876677	25.0625	24.875	24.6875	24.908199310302734
71.77	24.66475921012461	25.0625	24.875	24.6875	24.908199310302734
75.56	24.65449792819563	25.0625	24.875	24.6875	24.919578552246094
79.34	24.65449792819563	25.0	24.875	24.6875	24.919578552246094
83.19	24.65449792819563	25.0	24.875	24.6875	24.919578552246094
87.02	24.68528177747503	25.0625	24.875	24.6875	24.919578552246094
90.77	24.68528177747503	25.0	24.875	24.6875	24.919578552246094
94.56	24.680151135200866	25.0	24.875	24.6875	24.919578552246094
98.35	24.69041242004023	25.0	24.875	24.6875	24.919578552246094
102.15	24.69554306289647	25.0625	24.875	24.6875	24.919578552246094
105.99	24.721196281543236	25.0	24.875	24.6875	24.919578552246094
109.84	24.710934993211414	24.9375	24.875	24.6875	24.919578552246094
113.64	24.705804349482058	25.0625	24.875	24.6875	24.919578552246094
117.43	24.68528177747503	25.0	24.875	24.6875	24.919578552246094
121.3	24.680151135200866	25.0	24.875	24.6875	24.919578552246094
125.12	24.705804349482058	25.0625	24.875	24.6875	24.919578552246094
