Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
4.84	24.78276403598138	54.75	25.25	25.1875	25.211631774902344
8.75	24.808417279366402	54.75	25.25	25.1875	25.211631774902344
12.51	24.808417279366402	54.75	25.25	25.125	25.211631774902344
16.37	24.793025332462275	54.75	25.25	25.1875	25.211631774902344
20.2	24.77763338817749	54.75	25.25	25.1875	25.211631774902344
24.03	24.767372093442827	54.75	25.25	25.1875	25.211631774902344
27.81	24.762241446512053	54.6875	25.25	25.1875	25.211631774902344
31.67	24.77763338817749	54.75	25.25	25.1875	25.211631774902344
35.5	24.78276403598138	54.75	25.25	25.1875	25.211631774902344
39.33	24.762241446512053	54.75	25.25	25.1875	25.211631774902344
43.16	24.78789468407631	54.75	25.25	25.1875	25.211631774902344
47.0	24.772502740664642	54.75	25.25	25.1875	25.211631774902344
50.87	24.772502740664642	54.75	25.25	25.1875	25.211631774902344
54.68	24.77763338817749	54.75	25.25	25.1875	25.211631774902344
58.55	24.78789468407631	54.75	25.25	25.1875	25.211631774902344
62.39	24.78789468407631	54.75	25.25	25.1875	25.223005294799805
66.22	24.772502740664642	54.75	25.25	25.1875	25.223005294799805
70.06	24.78789468407631	54.6875	25.25	25.1875	25.223005294799805
73.9	24.78789468407631	54.75	25.25	25.1875	25.223005294799805
77.73	24.772502740664642	54.75	25.25	25.1875	25.223005294799805
81.57	24.78789468407631	54.75	25.25	25.1875	25.223005294799805
85.42	24.757110799872315	54.75	25.25	25.1875	25.223005294799805
89.25	24.762241446512053	54.6875	25.25	25.1875	25.223005294799805
93.1	24.762241446512053	54.75	25.25	25.1875	25.223005294799805
96.93	24.772502740664642	54.6875	25.25	25.1875	25.223005294799805
100.78	24.772502740664642	54.6875	25.25	25.1875	25.223005294799805
104.56	24.767372093442827	54.75	25.25	25.1875	25.223005294799805
108.37	24.757110799872315	54.6875	25.25	25.1875	25.223005294799805
112.21	24.762241446512053	54.6875	25.25	25.1875	25.223005294799805
116.06	24.757110799872315	54.75	25.25	25.1875	25.223005294799805
119.86	24.74684950746596	54.6875	25.25	25.1875	25.223005294799805
123.67	24.75198015352362	54.75	25.25	25.1875	25.219322204589844
127.49	24.741718861699336	54.75	25.25	25.1875	25.219322204589844
131.34	24.741718861699336	54.6875	25.25	25.1875	25.219322204589844
135.18	24.74684950746596	54.75	25.25	25.1875	25.219322204589844
