Time [s]	Sensor 1: BME280 @I2C [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: OPUS20 @LAN [°C]
5.25	24.705804349482058	25.3125	25.0	24.9375	25.128339767456055
9.22	24.710934993211414	25.25	25.0	24.9375	25.128339767456055
13.02	24.69554306289647	25.375	25.0	24.875	25.128339767456055
16.89	24.731457571039208	25.3125	25.0	24.875	25.128339767456055
20.7	24.721196281543236	25.375	25.0	24.9375	25.128339767456055
24.53	24.721196281543236	25.25	25.0	24.9375	25.128339767456055
28.39	24.710934993211414	25.3125	25.0	24.9375	25.128339767456055
32.22	24.705804349482058	25.25	25.0	24.9375	25.128339767456055
36.04	24.705804349482058	25.25	25.0	24.9375	25.143390655517578
39.9	24.700673706043744	25.3125	25.0	24.9375	25.143390655517578
43.71	24.710934993211414	25.375	25.0	24.875	25.143390655517578
47.59	24.716065637231804	25.375	25.0	24.9375	25.143390655517578
51.42	24.69554306289647	25.4375	25.0	24.9375	25.143390655517578
55.3	24.69554306289647	25.5	25.0	24.9375	25.143390655517578
59.11	24.69554306289647	25.6875	25.0	24.9375	25.143390655517578
63.01	24.69554306289647	26.0	25.0	24.875	25.143390655517578
66.94	24.705804349482058	26.1875	25.0	24.9375	25.143390655517578
70.89	24.710934993211414	26.5625	25.0	24.9375	25.143390655517578
74.74	24.69554306289647	26.875	25.0	24.9375	25.143390655517578
78.59	24.68528177747503	27.3125	25.0	24.9375	25.143390655517578
82.47	24.68528177747503	27.6875	25.0	24.875	25.143390655517578
86.3	24.680151135200866	28.125	25.0	24.9375	25.143390655517578
90.17	24.66988985152566	28.625	25.0	24.9375	25.143390655517578
94.04	24.66475921012461	29.0625	25.0	24.875	25.143390655517578
97.95	24.66988985152566	29.625	25.0	24.875	25.158451080322266
101.83	24.705804349482058	30.0625	25.0	24.875	25.158451080322266
105.73	24.710934993211414	30.625	25.0	24.875	25.158451080322266
109.67	24.726326926145703	31.1875	25.0	24.875	25.158451080322266
113.5	24.721196281543236	31.625	25.0	24.875	25.158451080322266
117.34	24.69554306289647	32.0625	25.0	24.875	25.158451080322266
121.19	24.69554306289647	32.5625	25.0	24.875	25.158451080322266
125.04	24.705804349482058	33.0625	25.0	24.875	25.158451080322266
