Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]
4.09	17.7209527	17.3125	17.25
7.22	17.7197632	17.3125	17.25
10.34	17.7192688	17.3125	17.25
13.39	18.5732054	17.75	17.3125
16.49	21.9140423	20.25	17.3125
19.61	23.4596597	22.3125	17.3125
22.67	24.6179568	23.8125	17.3125
25.71	25.6808342	24.9375	17.3125
28.85	26.5046401	25.75	17.375
31.99	27.1825226	26.5	17.3125
35.09	27.7458044	27.0625	17.375
38.32	28.2706063	27.5625	17.375
41.43	28.6943378	27.9375	17.375
44.55	29.0600973	28.3125	17.375
47.63	29.371088	28.5625	17.375
50.71	29.6484217	28.875	17.375
53.83	29.9022814	29.125	17.4375
56.95	30.1246994	29.3125	17.4375
60.08	30.324164	29.5625	17.4375
63.2	30.5023874	29.6875	17.4375
66.38	30.6644879	29.875	17.4375
69.54	30.8125771	30.0	17.4375
72.62	30.9465697	30.1875	17.4375
75.74	31.0764684	30.3125	17.5
78.85	31.1970207	30.4375	17.5
82.0	31.2052567	30.5	17.5
85.1	31.3355262	30.75	17.5
88.23	31.4502078	30.875	17.5625
91.35	31.6637194	30.9375	17.5625
94.47	32.1137933	31.1875	17.5625
97.61	32.3107475	31.4375	17.5625
100.73	32.4590825	31.5625	17.625
103.82	32.5691262	31.6875	18.375
106.96	32.5707678	31.8125	19.4375
110.05	32.3967935	31.8125	19.5
113.14	32.2608799	31.8125	19.4375
116.19	32.0564074	31.6875	20.3125
119.28	32.1080562	31.6875	23.0
122.35	31.8115103	31.8125	24.5
125.41	31.7785948	32.0	25.6875
128.52	31.9468493	32.125	27.0625
131.63	32.1672876	32.1875	28.125
134.68	32.3160399	32.3125	28.8125
137.71	32.4254803	32.375	29.3125
140.76	32.5148337	32.4375	29.625
143.79	32.5889812	32.5	29.9375
146.86	32.6549624	32.5	30.1875
150.08	32.7387805	32.375	30.625
153.28	32.766813	32.25	30.875
156.4	32.8078793	32.1875	31.0625
159.51	32.8450645	32.1875	31.1875
162.64	32.9109986	32.1875	31.3125
165.75	32.9220512	32.1875	31.4375
168.87	32.9427417	32.1875	31.5625
172.0	32.9668913	32.1875	31.625
175.08	32.9915289	32.25	31.75
178.22	33.0157452	32.25	31.875
181.36	33.0400844	32.3125	31.9375
184.46	33.0550304	32.3125	31.9375
