Time [s]	Time [min]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]
4.09	=A2/60	17.7209527	17.3125	17.25
7.22	=A3/60	17.7197632	17.3125	17.25
10.34	=A4/60	17.7192688	17.3125	17.25
13.39	=A5/60	18.5732054	17.75	17.3125
16.49	=A6/60	21.9140423	20.25	17.3125
19.61	=A7/60	23.4596597	22.3125	17.3125
22.67	=A8/60	24.6179568	23.8125	17.3125
25.71	=A9/60	25.6808342	24.9375	17.3125
28.85	=A10/60	26.5046401	25.75	17.375
31.99	=A11/60	27.1825226	26.5	17.3125
35.09	=A12/60	27.7458044	27.0625	17.375
38.32	=A13/60	28.2706063	27.5625	17.375
41.43	=A14/60	28.6943378	27.9375	17.375
44.55	=A15/60	29.0600973	28.3125	17.375
47.63	=A16/60	29.371088	28.5625	17.375
50.71	=A17/60	29.6484217	28.875	17.375
53.83	=A18/60	29.9022814	29.125	17.4375
56.95	=A19/60	30.1246994	29.3125	17.4375
60.08	=A20/60	30.324164	29.5625	17.4375
63.2	=A21/60	30.5023874	29.6875	17.4375
66.38	=A22/60	30.6644879	29.875	17.4375
69.54	=A23/60	30.8125771	30.0	17.4375
72.62	=A24/60	30.9465697	30.1875	17.4375
75.74	=A25/60	31.0764684	30.3125	17.5
78.85	=A26/60	31.1970207	30.4375	17.5
82.0	=A27/60	31.2052567	30.5	17.5
85.1	=A28/60	31.3355262	30.75	17.5
88.23	=A29/60	31.4502078	30.875	17.5625
91.35	=A30/60	31.6637194	30.9375	17.5625
94.47	=A31/60	32.1137933	31.1875	17.5625
97.61	=A32/60	32.3107475	31.4375	17.5625
100.73	=A33/60	32.4590825	31.5625	17.625
103.82	=A34/60	32.5691262	31.6875	18.375
106.96	=A35/60	32.5707678	31.8125	19.4375
110.05	=A36/60	32.3967935	31.8125	19.5
113.14	=A37/60	32.2608799	31.8125	19.4375
116.19	=A38/60	32.0564074	31.6875	20.3125
119.28	=A39/60	32.1080562	31.6875	23.0
122.35	=A40/60	31.8115103	31.8125	24.5
125.41	=A41/60	31.7785948	32.0	25.6875
128.52	=A42/60	31.9468493	32.125	27.0625
131.63	=A43/60	32.1672876	32.1875	28.125
