Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: DS18B20 @GPIO [°C]	Sensor 3: DS18B20 @GPIO [°C]
9.43	19.1264333	18.75	18.625
12.57	19.1276982	18.75	18.5625
15.64	19.1288333	18.75	18.625
18.71	19.1298049	18.75	18.625
21.74	19.130623	18.75	18.625
24.81	19.1320143	18.75	18.625
27.87	19.1316229	18.75	18.625
30.97	19.1323141	18.75	18.5625
33.98	19.1336936	18.75	18.625
37.03	19.138431	18.75	18.5625
40.08	19.1578745	18.75	18.5625
43.15	19.1701055	18.75	18.5625
46.27	19.1786102	18.75	18.875
49.34	20.8251074	18.75	19.9375
52.43	21.96073	18.75	20.75
55.56	22.5373954	18.75	20.75
58.69	22.837292	18.75	21.5625
61.82	22.8554379	18.75	21.5625
64.92	23.2259346	19.375	21.9375
68.06	23.2658133	20.4375	22.4375
71.17	23.5050815	21.125	22.625
74.3	23.7563616	21.75	22.6875
77.43	23.9754301	22.25	22.75
80.54	24.1287913	22.625	22.8125
83.69	24.2464855	22.8125	22.875
86.79	24.3024196	22.875	22.875
89.89	24.2253407	22.8125	22.875
92.97	24.1503682	22.75	22.8125
96.02	24.075136	22.625	22.8125
99.05	24.0021878	22.5625	22.8125
102.08	23.9299292	22.5	22.75
105.09	23.8585612	22.4375	22.75
108.19	23.7859274	22.375	22.6875
111.26	23.7172454	22.375	22.6875
114.34	23.6474896	22.3125	22.6875
117.47	23.5785692	22.25	22.625
120.59	23.5108347	22.1875	22.625
123.7	23.4446151	22.125	22.625
126.75	23.3793259	22.125	22.625
129.87	23.3150664	22.0625	22.5625
132.98	23.252977	22.0	22.5625
136.08	23.1913733	22.0	22.5625
139.12	23.1322499	21.9375	22.5
142.18	23.0747804	21.9375	22.5
145.3	23.0171701	21.875	22.5
148.34	22.9614181	21.8125	22.4375
151.44	22.9063112	21.8125	22.4375
154.5	22.8537703	21.75	22.4375
157.54	22.8030337	21.75	22.375
160.63	22.7519498	21.6875	22.375
163.71	22.7013779	21.6875	22.375
166.82	22.6519595	21.625	22.3125
169.85	22.6047966	21.5625	22.3125
172.91	22.5579115	21.5625	22.3125
175.97	22.5113431	21.5	22.25
179.07	22.4654201	21.5	22.25
182.18	22.4202634	21.5	22.25
185.21	22.3771184	21.4375	22.1875
188.27	22.3341236	21.4375	22.1875
191.37	22.2916533	21.375	22.1875
194.43	22.2502376	21.375	22.125
197.53	22.2093624	21.3125	22.125
200.56	22.1686147	21.3125	22.0625
203.6	22.1289552	21.25	22.0625
206.63	22.0899312	21.25	22.0625
209.68	22.0513584	21.25	22.0
212.72	22.0132049	21.1875	22.0
215.78	21.974737	21.1875	21.9375
218.82	21.9378676	21.125	21.9375
221.93	21.9005631	21.125	21.9375
224.98	21.8644583	21.125	21.875
228.01	21.829471	21.0625	21.875
231.08	21.7952159	21.0625	21.875
234.18	21.7601371	21.0	21.8125
237.23	21.7261285	21.0	21.8125
240.32	21.6939963	21.0	21.75
243.37	21.660933	20.9375	21.75
246.53	21.6292462	20.9375	21.75
249.62	21.5969142	20.9375	21.6875
252.76	21.5663834	20.875	21.6875
255.87	21.5359628	20.875	21.6875
258.96	21.5059637	20.8125	21.6875
262.05	21.4768148	20.8125	21.625
265.13	21.4484057	20.8125	21.625
268.17	21.4201787	20.8125	21.625
271.21	21.3935107	20.75	21.5625
274.24	21.3668447	20.75	21.5625
277.3	21.3401394	20.75	21.5
280.41	21.3139842	20.6875	21.5
283.45	21.2900417	20.6875	21.5
286.51	21.2647025	20.6875	21.5
289.62	21.2398603	20.625	21.4375
292.72	21.2149296	20.625	21.4375
295.85	21.190298	20.625	21.375
298.91	21.1662518	20.625	21.375
302.03	21.1416088	20.5625	21.375
305.13	21.1184436	20.5625	21.3125
308.2	21.0941788	20.5625	21.3125
311.31	21.0710447	20.5	21.3125
314.41	21.0478965	20.5	21.25
317.43	21.0256368	20.5	21.25
320.51	21.0030878	20.5	21.25
323.6	20.9816658	20.4375	21.25
326.66	20.9604052	20.4375	21.1875
329.67	20.9400968	20.4375	21.1875
332.7	20.9199319	20.4375	21.125
335.77	20.8999804	20.375	21.125
338.81	20.8796924	20.375	21.125
341.92	20.8609595	20.375	21.125
344.98	20.8411134	20.375	21.0625
347.97	20.8226778	20.3125	21.0625
351.08	20.8021274	20.3125	21.0625
354.16	20.78243	20.3125	21.0
357.21	20.7627001	20.3125	21.0
360.25	20.7439147	20.25	21.0
363.25	20.7252788	20.25	20.9375
366.35	20.7067776	20.25	20.9375
369.48	20.6885087	20.25	20.9375
372.58	20.6707388	20.25	20.875
375.69	20.6542581	20.25	20.875
378.72	20.6370412	20.1875	20.875
381.79	20.6207367	20.1875	20.875
384.89	20.6049123	20.1875	20.875
387.94	20.5900193	20.1875	20.8125
390.96	20.5751967	20.1875	20.8125
394.01	20.5608353	20.125	20.8125
397.14	20.5459259	20.125	20.75
400.18	20.5316833	20.125	20.75
403.31	20.5179953	20.125	20.75
406.43	20.5045323	20.125	20.75
409.54	20.4898866	20.0625	20.6875
412.66	20.476034	20.0625	20.6875
415.8	20.4619806	20.0625	20.6875
418.88	20.4482137	20.0625	20.625
421.93	20.4355943	20.0625	20.625
424.99	20.4229524	20.0625	20.625
428.11	20.4102733	20.0	20.625
