Measuring Time [h]	Discharge Runtime [h]	Voltage [V]	Current [A]	Capacity [Ah]
0.0	0.117	5.0	0.8	0.103
0.001	0.117	4.99	0.8	0.103
0.001	0.117	4.99	0.8	0.104
0.001	0.117	4.98	0.8	0.104
0.001	0.117	4.99	0.8	0.104
0.002	0.117	4.99	0.8	0.104
0.002	0.117	4.99	0.8	0.105
0.002	0.117	4.99	0.8	0.105
0.003	0.117	4.99	0.8	0.105
0.003	0.117	4.99	0.8	0.105
0.003	0.117	4.99	0.8	0.105
0.003	0.117	4.99	0.8	0.106
0.004	0.117	4.99	0.8	0.106
0.004	0.117	4.99	0.8	0.106
0.004	0.117	4.99	0.8	0.106
0.005	0.133	4.99	0.8	0.107
0.005	0.133	4.99	0.8	0.107
0.005	0.133	4.99	0.8	0.107
0.005	0.133	4.99	0.8	0.107
0.006	0.133	5.0	0.8	0.107
0.006	0.133	4.99	0.8	0.108
0.006	0.133	4.99	0.8	0.108
0.006	0.133	4.99	0.8	0.108
0.007	0.133	4.99	0.8	0.108
0.007	0.133	4.99	0.8	0.109
0.007	0.133	4.99	0.8	0.109
0.008	0.133	4.99	0.8	0.109
0.008	0.133	4.99	0.8	0.109
0.008	0.133	4.99	0.8	0.109
0.008	0.133	4.99	0.8	0.11
0.009	0.133	4.99	0.8	0.11
0.009	0.133	5.0	0.8	0.11
0.009	0.133	4.99	0.8	0.11
0.01	0.133	4.99	0.8	0.111
0.01	0.133	4.99	0.8	0.111
0.01	0.133	4.99	0.8	0.111
0.01	0.133	4.99	0.8	0.111
0.011	0.133	4.99	0.8	0.111
0.011	0.133	4.99	0.8	0.112
0.011	0.133	4.99	0.8	0.112
0.011	0.133	4.99	0.8	0.112
0.012	0.133	4.99	0.8	0.112
0.012	0.133	5.0	0.8	0.113
0.012	0.133	4.99	0.8	0.113
0.013	0.133	4.98	0.8	0.113
0.013	0.133	4.99	0.8	0.113
0.013	0.133	4.99	0.8	0.113
0.013	0.133	4.99	0.8	0.114
0.014	0.133	4.98	0.8	0.114
0.014	0.133	4.99	0.8	0.114
0.014	0.133	4.99	0.8	0.114
0.015	0.133	4.99	0.8	0.115
0.015	0.133	4.99	0.8	0.115
0.015	0.133	4.99	0.8	0.115
0.015	0.133	4.99	0.8	0.115
0.016	0.133	4.99	0.8	0.115
0.016	0.133	4.99	0.8	0.116
0.016	0.133	4.99	0.8	0.116
