Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]
3.11	18.7034675	18.76682598735788	18.375	18.125
6.34	18.7042194	18.756754162168363	18.375	18.125
9.51	18.7043598	18.756754162168363	18.375	18.125
12.66	18.7050793	18.76682598735788	18.375	18.125
15.78	18.7059227	18.78696964122937	18.375	18.125
18.87	18.7058117	18.78696964122937	18.375	18.125
22.02	18.7069177	18.78696964122937	18.375	18.125
25.14	18.7071609	18.797041469911346	18.375	18.125
28.28	18.7076254	18.817185130767758	18.375	18.125
31.41	18.708127	18.817185130767758	18.375	18.125
34.5	18.7086317	18.807113299757475	18.375	18.125
37.61	18.7092938	18.807113299757475	18.375	18.125
40.74	18.7095553	18.79200555542484	18.375	18.125
43.88	18.7101892	18.802077384688893	18.375	18.125
46.98	18.7105935	18.77689781371155	18.375	18.125
50.11	18.711284	18.76682598735788	18.375	18.125
53.22	18.7114463	18.746682338143	18.375	18.125
56.34	18.7117349	18.731574604287744	18.4375	18.125
59.49	18.7125216	18.716466873051832	18.4375	18.125
62.57	18.7127335	18.696323235478484	18.4375	18.125
65.7	18.7132546	18.68625141843804	18.4375	18.1875
68.8	18.7140006	18.676179602561753	18.4375	18.125
71.93	18.7142556	18.666107787849615	18.4375	18.125
75.01	18.7147313	18.65603597430163	18.4375	18.1875
78.09	18.7146693	18.651000067964198	18.4375	18.1875
81.21	18.7152312	18.63589235069812	18.4375	18.125
84.33	18.7160362	18.6258205406426	18.4375	18.125
87.47	18.7160061	18.6258205406426	18.4375	18.1875
90.57	18.7173258	18.61574873175123	18.4375	18.125
93.7	18.7172532	18.620784636051393	18.4375	18.1875
96.82	18.717821	18.6107128277421	18.4375	18.125
99.94	18.7183816	18.6107128277421	18.4375	18.1875
103.05	18.7185227	18.6107128277421	18.4375	18.1875
106.19	18.7185717	18.60567692402401	18.4375	18.1875
109.29	18.7191878	18.60567692402401	18.4375	18.1875
112.42	18.7200489	18.60567692402401	18.4375	18.125
115.56	18.7202437	18.595605117460945	18.4375	18.1875
118.66	18.7209336	18.60064102059696	18.4375	18.1875
121.87	18.7210723	18.595605117460945	18.4375	18.1875
124.98	18.721685	18.595605117460945	18.4375	18.1875
128.07	18.7220934	18.59056921461597	18.4375	18.1875
131.17	18.722454	18.580497409799136	18.4375	18.1875
134.25	18.7225632	18.580497409799136	18.4375	18.1875
137.36	18.723442	18.580497409799136	18.4375	18.1875
140.51	18.723583	18.570425606146454	18.4375	18.1875
143.61	18.723681	18.570425606146454	18.4375	18.1875
146.74	18.723864	18.565389704756672	18.4375	18.1875
149.86	18.7250544	18.560353803657925	18.4375	18.1875
152.98	18.7247003	18.55531790285022	18.4375	18.1875
156.08	18.724872	18.55531790285022	18.4375	18.1875
159.22	18.725608	18.54524610210792	18.4375	18.1875
162.33	18.7260258	18.535174302529775	18.4375	18.1875
165.42	18.7259946	18.535174302529775	18.4375	18.1875
168.51	18.7268799	18.535174302529775	18.4375	18.1875
171.61	18.7271295	18.520066605345345	18.4375	18.1875
174.74	18.7277339	18.525102504115786	18.4375	18.1875
177.86	18.7283943	18.515030706865947	18.4375	18.1875
180.97	18.7284728	18.515030706865947	18.4375	18.1875
184.1	18.7283453	18.509994808677583	18.4375	18.1875
187.18	18.7292495	18.50495891078026	18.4375	18.1875
190.26	18.7294938	18.494887115858727	18.4375	18.1875
193.38	18.7297665	18.494887115858727	18.4375	18.1875
196.5	18.7301218	18.484815322101348	18.4375	18.1875
199.61	18.7303231	18.484815322101348	18.4375	18.1875
202.69	18.731134	18.48985121883452	18.4375	18.1875
205.79	18.7313358	18.484815322101348	18.4375	18.1875
208.91	18.7310236	18.469707633648067	18.4375	18.1875
212.03	18.732168	18.474743529508125	18.4375	18.1875
215.13	18.7320919	18.474743529508125	18.4375	18.1875
218.26	18.7331052	18.46467173807905	18.4375	18.1875
221.39	18.7327694	18.46467173807905	18.4375	18.1875
224.48	18.7332233	18.45459994781413	18.4375	18.1875
227.65	18.7340094	18.45459994781413	18.4375	18.1875
230.74	18.7344084	18.43949226459954	18.4375	18.1875
233.83	18.7353887	18.444528158713364	18.4375	18.1875
236.98	18.7349691	18.43949226459954	18.4375	18.1875
240.09	18.7351396	18.43445637077675	18.4375	18.1875
243.18	18.7355368	18.43445637077675	18.4375	18.1875
246.35	18.7360792	18.424384584004294	18.4375	18.1875
249.46	18.7369403	18.424384584004294	18.4375	18.1875
252.58	18.7369521	18.41934869105462	18.4375	18.1875
255.67	18.7375459	18.40927690602839	18.4375	18.1875
258.77	18.7379289	18.404241013951832	18.4375	18.1875
261.94	18.7379785	18.414312798395986	18.4375	18.1875
265.14	18.738613	18.40927690602839	18.4375	18.1875
268.27	18.738656	18.414312798395986	18.4375	18.1875
271.38	18.7393324	18.404241013951832	18.4375	18.1875
274.5	18.7392716	18.404241013951832	18.4375	18.1875
277.64	18.7395224	18.39416923067183	18.4375	18.1875
