Time [s]	Sensor 1: Pt100-4wire @Keysight [°C]	Sensor 2: BME280 @I2C [°C]	Sensor 3: DS18B20 @GPIO [°C]	Sensor 4: DS18B20 @GPIO [°C]	Sensor 5: DS18B20 @GPIO [°C]	Sensor 6: OPUS20 @LAN [°C]
8.04	24.4124647	24.74684950746596	23.625	23.9375	23.75	23.890148162841797
12.59	24.4083558	24.69554306289647	23.625	23.9375	23.75	23.890148162841797
16.95	24.4053441	24.66475921012461	23.6875	23.9375	23.75	23.890148162841797
21.37	24.4027067	24.623714089393616	23.6875	23.9375	23.75	23.890148162841797
25.74	24.3905655	24.608322173921625	23.6875	23.9375	23.75	23.890148162841797
30.14	24.3864844	24.603191536013036	23.6875	23.9375	23.75	23.890148162841797
34.56	24.3803793	24.577538350835674	23.625	23.9375	23.75	23.890148162841797
38.96	24.3859856	24.59293026106898	23.625	23.9375	23.75	23.890148162841797
43.35	24.3967271	24.633975367830136	23.625	23.9375	23.75	23.890148162841797
47.75	24.4075221	24.66475921012461	23.6875	23.9375	23.75	23.890148162841797
52.12	24.4190431	24.705804349482058	23.625	23.9375	23.75	23.890148162841797
56.47	24.4342005	24.736588216223755	23.625	23.9375	23.75	23.94305419921875
60.89	24.4525746	24.767372093442827	23.625	23.9375	23.75	23.94305419921875
65.34	25.3415636	24.808417279366402	23.75	24.125	24.8125	23.94305419921875
69.81	28.3222096	24.88024639955256	25.5625	25.3125	26.5	23.94305419921875
74.31	30.0189515	24.962336892471647	27.0	26.5	27.75	23.94305419921875
78.8	31.0823563	25.054688786063345	28.0625	27.4375	28.75	23.94305419921875
83.31	31.8157258	25.167563450732267	28.875	28.1875	29.5	23.94305419921875
87.74	32.3471795	25.347137071198084	29.5625	28.8125	30.0	23.94305419921875
92.25	32.8844164	25.36765979338088	30.0	29.375	30.5	23.94305419921875
96.82	33.3120535	25.39844388538622	30.5	29.8125	30.875	23.94305419921875
101.29	33.629533	25.434358672634698	30.8125	30.1875	31.125	23.94305419921875
105.81	33.8870579	25.495926912524737	31.125	30.5	31.375	23.94305419921875
110.29	34.1009497	25.552364502573617	31.375	30.75	31.5	23.94305419921875
114.74	34.2787399	25.603671433177077	31.5625	30.9375	31.5625	23.947126388549805
119.26	34.4317985	25.624194213567534	31.8125	31.0625	31.6875	23.947126388549805
123.78	34.5625229	25.639586301916278	32.0625	31.25	31.75	23.947126388549805
128.48	34.6755595	25.649847695603967	32.1875	31.375	31.8125	23.947126388549805
133.01	34.5925177	25.644716998614605	32.125	31.375	31.6875	23.947126388549805
137.32	34.3367069	25.634455605508993	31.9375	31.1875	31.5	23.947126388549805
141.74	34.0805885	25.567756578698756	31.625	31.0625	31.3125	23.947126388549805
146.19	33.8411865	25.536972429067827	31.4375	30.9375	31.125	23.947126388549805
150.59	33.5916819	25.460012100829044	31.25	30.75	30.875	23.947126388549805
155.02	33.2888866	25.393313202657737	31.0	30.5625	30.6875	23.947126388549805
159.42	33.0573973	25.40870525171631	30.75	30.4375	30.6875	23.947126388549805
163.81	32.8138688	25.424097303394227	30.5625	30.25	30.3125	23.947126388549805
168.14	32.5757073	25.41896661921055	30.25	30.0625	30.125	23.947126388549805
172.56	32.3295456	25.27017690448556	30.125	29.9375	29.9375	23.947126388549805
176.95	32.1052151	25.285568932589378	29.9375	29.75	29.75	23.954849243164062
181.37	31.8519013	25.203478146303677	29.6875	29.5625	29.5625	23.954849243164062
185.78	31.5686053	25.11112610078999	29.5	29.375	29.3125	23.954849243164062
190.17	31.3019724	25.034166134893894	29.3125	29.1875	29.3125	23.954849243164062
194.51	31.0292749	24.962336892471647	29.1875	29.0625	29.0	23.954849243164062
198.85	30.8008282	24.900769015797415	28.9375	28.875	28.8125	23.954849243164062
203.28	30.5567875	24.839201181032696	28.8125	28.75	28.625	23.954849243164062
207.65	30.2895779	24.63910600748495	28.5625	28.5625	28.5	23.954849243164062
