Time [s]	Voltage set [V]	Voltage measured [V]
0.1	0.0	0.0
0.2	0.0	0.0
0.35	0.0	0.0
0.48	0.0	0.0
0.62	0.0	0.0
0.74	0.0	0.0
0.87	0.0	0.0
1.01	0.0	0.0
1.17	0.5	0.0
1.3	0.5	0.0
1.42	0.5	0.0
1.56	0.5	0.0
1.69	0.5	0.0
1.81	0.5	0.0
1.94	0.5	0.502
2.05	0.5	0.502
2.19	1.0	0.502
2.34	1.0	0.502
2.46	1.0	1.0022
2.59	1.0	1.0022
2.72	1.0	1.0022
2.85	1.0	1.0022
2.98	1.0	1.0022
3.16	1.5	1.0022
3.29	1.5	1.0026
3.41	1.5	1.0026
3.52	1.5	1.0026
3.64	1.5	1.5051
3.76	1.5	1.5051
3.89	1.5	1.5051
4.01	1.5	1.5051
4.2	2.0	1.5051
4.32	2.0	1.5051
4.43	2.0	1.5051
4.56	2.0	1.5051
4.69	2.0	1.5051
4.82	2.0	1.5051
4.95	2.0	2.0048
5.1	2.0	2.0048
5.27	2.5	2.0048
5.4	2.5	2.2349
5.53	2.5	2.2349
5.66	2.5	2.2349
5.78	2.5	2.2349
5.91	2.5	2.2349
6.04	2.5	2.5022
6.15	2.5	2.5022
6.31	3.0	2.5022
6.43	3.0	2.5022
6.54	3.0	2.5022
6.67	3.0	3.0021
6.79	3.0	3.0021
6.91	3.0	3.0021
7.04	3.0	3.0021
7.17	3.0	3.0021
7.29	3.5	3.0026
7.42	3.5	3.0026
7.55	3.5	3.0026
7.69	3.5	3.5024
7.82	3.5	3.5024
7.95	3.5	3.5024
8.08	3.5	3.5024
8.2	3.5	3.5024
8.33	4.0	3.5024
8.46	4.0	3.5025
8.58	4.0	3.5025
8.72	4.0	3.5025
8.85	4.0	3.5025
8.97	4.0	4.0013
9.1	4.0	4.0013
9.23	4.0	4.0013
9.42	4.5	4.0013
9.55	4.5	4.2419
9.68	4.5	4.2419
9.81	4.5	4.2419
9.95	4.5	4.2419
10.08	4.5	4.2419
10.21	4.5	4.5023
10.39	5.0	4.5023
10.52	5.0	4.5023
10.63	5.0	4.5023
10.76	5.0	5.002
10.87	5.0	5.002
11.0	5.0	5.002
11.12	5.0	5.002
11.25	5.0	5.002
11.42	5.5	5.0022
11.56	5.5	5.0022
11.69	5.5	5.0022
11.82	5.5	5.0022
11.94	5.5	5.0022
12.07	5.5	5.4991
12.2	5.5	5.4991
12.32	5.5	5.4991
12.5	6.0	5.4991
12.63	6.0	5.4993
12.76	6.0	5.4993
12.9	6.0	5.4993
13.03	6.0	5.4993
13.16	6.0	6.0027
13.29	6.0	6.0027
13.43	6.0	6.0027
13.62	6.5	6.0027
13.75	6.5	6.0028
13.89	6.5	6.0028
14.02	6.5	6.0028
14.14	6.5	6.0028
14.28	6.5	6.5028
14.41	6.5	6.5028
14.59	7.0	6.5028
14.72	7.0	6.5028
14.84	7.0	7.0025
14.96	7.0	7.0025
15.09	7.0	7.0025
15.21	7.0	7.0025
15.34	7.0	7.0025
15.47	7.0	7.003
15.64	7.5	7.003
15.78	7.5	7.003
15.91	7.5	7.003
16.02	7.5	7.003
16.15	7.5	7.5016
16.25	7.5	7.5016
16.38	7.5	7.5016
16.51	7.5	7.5016
16.64	7.5	7.5016
16.77	8.0	7.5019
16.91	8.0	7.5019
17.03	8.0	7.5019
17.16	8.0	8.0021
17.29	8.0	8.0021
17.42	8.0	8.0021
17.54	8.0	8.0021
17.67	8.0	8.0021
17.79	8.5	8.0021
17.92	8.5	8.0023
18.06	8.5	8.0023
18.18	8.5	8.0023
18.31	8.5	8.0023
18.45	8.5	8.5006
18.58	8.5	8.5006
18.71	8.5	8.5006
18.88	9.0	8.5006
19.01	9.0	8.9585
19.15	9.0	8.9585
19.27	9.0	8.9585
19.41	9.0	8.9585
19.54	9.0	8.9585
19.67	9.0	9.0012
19.85	9.5	9.0012
19.98	9.5	9.0012
20.13	9.5	9.0012
20.26	9.5	9.5026
20.4	9.5	9.5026
20.53	9.5	9.5026
20.65	9.5	9.5026
20.79	9.5	9.5027
20.96	10.0	9.5027
21.09	10.0	9.5027
21.21	10.0	9.5027
21.34	10.0	9.5027
21.46	10.0	10.0014
21.61	10.0	10.0014
21.74	10.0	10.0014
21.92	10.5	10.0014
22.06	10.5	10.0029
22.19	10.5	10.0029
22.34	10.5	10.0029
22.48	10.5	10.0029
22.61	10.5	10.5008
22.74	10.5	10.5008
22.87	10.5	10.5008
23.0	11.0	10.5008
23.13	11.0	10.5008
23.26	11.0	10.9971
23.38	11.0	10.9971
23.52	11.0	10.9971
23.64	11.0	10.9971
23.76	11.0	10.9988
23.91	11.0	10.9988
24.09	11.5	10.9988
24.22	11.5	10.9988
24.34	11.5	10.9988
24.47	11.5	11.5003
24.57	11.5	11.5003
24.7	11.5	11.5003
24.83	11.5	11.5003
25.0	12.0	11.5008
25.14	12.0	11.5008
25.27	12.0	11.5008
25.4	12.0	11.5008
25.52	12.0	11.5008
25.64	12.0	12.0009
25.75	12.0	12.0009
25.88	12.0	12.0009
26.06	12.5	12.0009
26.18	12.5	12.0009
26.31	12.5	12.2072
26.41	12.5	12.2072
26.54	12.5	12.2072
26.67	12.5	12.2072
26.8	12.5	12.5041
26.93	12.5	12.5041
27.18	13.0	12.5041
27.31	13.0	12.9949
27.44	13.0	12.9949
27.57	13.0	12.9949
27.7	13.0	12.9949
27.83	13.0	12.9949
27.96	13.0	13.0004
28.19	13.5	13.0004
28.32	13.5	13.0004
28.43	13.5	13.0004
28.56	13.5	13.5003
28.66	13.5	13.5003
28.78	13.5	13.5003
28.9	13.5	13.5003
29.03	13.5	13.5003
29.2	14.0	13.5007
29.3	14.0	13.5007
29.43	14.0	13.5007
29.53	14.0	13.5007
29.65	14.0	13.5007
29.78	14.0	14.0014
29.93	14.0	14.0014
30.06	14.0	14.0014
30.24	14.5	14.0014
30.38	14.5	14.0014
30.51	14.5	14.0014
30.67	14.5	14.0014
30.8	14.5	14.0014
30.92	14.5	14.5004
31.04	14.5	14.5004
31.18	14.5	14.5004
31.3	15.0	14.5004
31.42	15.0	14.5004
31.55	15.0	14.9982
31.7	15.0	14.9982
31.83	15.0	14.9982
31.95	15.0	14.9982
32.08	15.0	14.9995
32.21	15.0	14.9995
32.41	15.5	14.9995
32.53	15.5	14.9995
32.67	15.5	15.4977
32.8	15.5	15.4977
32.93	15.5	15.4977
33.04	15.5	15.4977
33.17	15.5	15.4977
33.35	16.0	15.4977
33.49	16.0	15.4986
33.62	16.0	15.4986
33.76	16.0	15.4986
33.89	16.0	15.4986
34.02	16.0	15.999
34.15	16.0	15.999
34.28	16.0	15.999
34.41	16.5	15.999
34.54	16.5	15.9994
34.67	16.5	15.9994
34.8	16.5	15.9994
34.93	16.5	15.9994
35.07	16.5	16.5001
35.19	16.5	16.5001
35.32	16.5	16.5001
35.45	17.0	16.5001
35.57	17.0	16.5001
35.7	17.0	16.9996
35.83	17.0	16.9996
35.96	17.0	16.9996
36.06	17.0	16.9996
36.18	17.0	16.9996
36.32	17.0	17.0008
36.43	17.5	17.0008
36.55	17.5	17.0008
36.68	17.5	17.0008
36.81	17.5	17.0008
36.93	17.5	17.5006
37.05	17.5	17.5006
37.18	17.5	17.5006
37.31	17.5	17.5006
37.45	17.5	17.5006
37.57	18.0	17.5008
37.71	18.0	17.5008
37.84	18.0	17.5008
37.98	18.0	18.0023
38.11	18.0	18.0023
38.24	18.0	18.0023
38.36	18.0	18.0023
38.49	18.0	18.0023
38.61	18.5	18.0023
38.74	18.5	18.0027
38.87	18.5	18.0027
39.0	18.5	18.0027
39.13	18.5	18.0027
39.26	18.5	18.5008
39.36	18.5	18.5008
39.5	18.5	18.5008
39.69	19.0	18.5008
39.82	19.0	18.7517
39.95	19.0	18.7517
40.08	19.0	18.7517
40.22	19.0	18.7517
40.35	19.0	18.7517
40.47	19.0	19.0016
40.67	19.5	19.0016
40.8	19.5	19.0016
40.92	19.5	19.0016
41.05	19.5	19.498
41.17	19.5	19.498
41.3	19.5	19.498
41.44	19.5	19.498
41.56	19.5	19.498
41.69	20.0	19.4985
41.82	20.0	19.4985
41.94	20.0	19.4985
42.04	20.0	19.4985
42.17	20.0	20.0003
42.3	20.0	20.0003
42.43	20.0	20.0003
42.54	20.0	20.0003
42.76	20.5	20.0003
42.89	20.5	20.0004
43.01	20.5	20.0004
43.14	20.5	20.0004
43.27	20.5	20.0004
43.4	20.5	20.0004
43.53	20.5	20.4991
43.66	20.5	20.4991
43.78	21.0	20.4991
43.91	21.0	20.4991
44.01	21.0	20.4991
44.14	21.0	20.9959
44.25	21.0	20.9959
44.37	21.0	20.9959
44.5	21.0	20.9982
44.6	21.0	20.9982
44.71	21.0	20.9982
44.84	21.5	20.9982
44.96	21.5	20.9982
45.09	21.5	20.9982
45.23	21.5	21.4976
45.35	21.5	21.4976
45.48	21.5	21.4976
45.6	21.5	21.4976
45.73	21.5	21.4982
45.86	22.0	21.4982
45.98	22.0	21.4982
46.11	22.0	21.4982
46.25	22.0	21.4982
46.38	22.0	21.9996
46.53	22.0	21.9996
46.66	22.0	21.9996
46.89	22.5	21.9996
47.02	22.5	21.9997
47.14	22.5	21.9997
47.27	22.5	21.9997
47.4	22.5	21.9997
47.53	22.5	21.9997
47.66	22.5	22.5001
47.88	23.0	22.5001
48.01	23.0	22.5001
48.12	23.0	22.5001
48.25	23.0	22.9995
48.38	23.0	22.9995
48.51	23.0	22.9995
48.64	23.0	23.0006
48.77	23.0	23.0006
48.92	23.5	23.0006
49.05	23.5	23.0006
49.18	23.5	23.0006
49.3	23.5	23.0006
49.43	23.5	23.5003
49.57	23.5	23.5003
49.7	23.5	23.5003
49.88	24.0	23.5003
50.02	24.0	23.5006
50.15	24.0	23.5006
50.29	24.0	23.5006
50.42	24.0	23.5006
50.55	24.0	23.9994
50.68	24.0	23.9994
50.81	24.0	23.9994
50.95	24.5	23.9994
51.09	24.5	24.3083
51.22	24.5	24.3083
51.35	24.5	24.3083
51.49	24.5	24.3083
51.61	24.5	24.3083
51.74	24.5	24.4988
51.92	25.0	24.4988
52.05	25.0	24.4988
52.15	25.0	24.4988
52.28	25.0	24.9991
52.38	25.0	24.9991
52.51	25.0	24.9991
52.64	25.0	24.9991
52.77	25.0	24.9991
52.99	25.5	24.9997
53.12	25.5	24.9997
53.24	25.5	24.9997
53.37	25.5	24.9997
53.5	25.5	25.4982
53.6	25.5	25.4982
53.73	25.5	25.4982
53.85	25.5	25.4982
53.98	26.0	25.4994
54.11	26.0	25.4994
54.23	26.0	25.4994
54.33	26.0	25.4994
54.46	26.0	25.4994
54.59	26.0	25.9994
54.72	26.0	25.9994
54.85	26.0	25.9994
55.03	26.5	25.9994
55.16	26.5	25.9994
55.3	26.5	26.4975
55.42	26.5	26.4975
55.56	26.5	26.4975
55.67	26.5	26.4975
