Time [s]	Voltage set [V]	Voltage measured [V]
0.1	0.0	0.0
0.22	0.0	0.0
0.34	0.0	0.0
0.47	0.0	0.0
0.61	0.0	0.0
0.74	0.0	0.0
0.87	0.0	0.0
1.0	0.0	0.0
1.14	0.5	0.0
1.29	0.5	0.0
1.42	0.5	0.0
1.54	0.5	0.0
1.67	0.5	0.0
1.79	0.5	0.5028
1.9	0.5	0.5028
2.03	0.5	0.5028
2.15	1.0	0.5028
2.28	1.0	0.5028
2.41	1.0	1.0032
2.54	1.0	1.0032
2.68	1.0	1.0032
2.79	1.0	1.0032
2.92	1.0	1.0035
3.05	1.0	1.0035
3.24	1.5	1.0035
3.37	1.5	1.0035
3.5	1.5	1.5057
3.63	1.5	1.5057
3.76	1.5	1.5057
3.88	1.5	1.5057
4.01	1.5	1.5057
4.2	2.0	1.506
4.34	2.0	1.506
4.47	2.0	1.506
4.61	2.0	1.506
4.75	2.0	1.506
4.88	2.0	2.0058
4.99	2.0	2.0058
5.12	2.0	2.0058
5.26	2.5	2.0058
5.39	2.5	2.006
5.52	2.5	2.006
5.65	2.5	2.006
5.78	2.5	2.006
5.92	2.5	2.5033
6.06	2.5	2.5033
6.3	3.0	2.5033
6.43	3.0	2.5033
6.54	3.0	2.5033
6.68	3.0	3.003
6.78	3.0	3.003
6.91	3.0	3.003
7.04	3.0	3.0036
7.17	3.0	3.0036
7.29	3.5	3.0036
7.44	3.5	3.0036
7.57	3.5	3.0036
7.71	3.5	3.5034
7.84	3.5	3.5034
7.97	3.5	3.5034
8.09	3.5	3.5034
8.21	3.5	3.5034
8.33	4.0	3.5034
8.46	4.0	3.5037
8.59	4.0	3.5037
8.72	4.0	3.5037
8.84	4.0	4.0026
8.98	4.0	4.0026
9.11	4.0	4.0026
9.24	4.0	4.0026
9.41	4.5	4.0026
9.54	4.5	4.0027
9.66	4.5	4.0027
9.79	4.5	4.0027
9.92	4.5	4.0027
10.05	4.5	4.0027
10.17	4.5	4.5036
10.28	4.5	4.5036
10.41	5.0	4.5036
10.53	5.0	4.5036
10.66	5.0	5.0034
10.79	5.0	5.0034
10.93	5.0	5.0034
11.07	5.0	5.0034
11.2	5.0	5.0034
11.43	5.5	5.0038
11.56	5.5	5.0038
11.67	5.5	5.0038
11.8	5.5	5.0038
11.92	5.5	5.5007
12.05	5.5	5.5007
12.17	5.5	5.5007
12.3	5.5	5.5007
12.43	6.0	5.5008
12.57	6.0	5.5008
12.7	6.0	5.5008
12.84	6.0	5.5008
12.97	6.0	5.5008
13.1	6.0	6.0042
13.22	6.0	6.0042
13.43	6.5	6.0042
13.57	6.5	6.5032
13.7	6.5	6.5032
13.83	6.5	6.5032
13.95	6.5	6.5032
14.08	6.5	6.5032
14.21	6.5	6.5042
14.43	7.0	6.5042
14.57	7.0	6.5042
14.69	7.0	6.5042
14.82	7.0	7.0042
14.97	7.0	7.0042
15.1	7.0	7.0042
15.24	7.0	7.0042
15.42	7.5	7.0044
15.55	7.5	7.0044
15.69	7.5	7.0044
15.83	7.5	7.0044
15.96	7.5	7.0044
16.09	7.5	7.5036
16.21	7.5	7.5036
16.34	7.5	7.5036
16.47	8.0	7.5036
16.57	8.0	7.7208
16.67	8.0	7.7208
16.8	8.0	7.7208
16.94	8.0	7.7208
17.07	8.0	7.7208
17.21	8.0	8.0039
17.35	8.0	8.0039
17.47	8.5	8.0039
17.6	8.5	8.0039
17.74	8.5	8.5021
17.87	8.5	8.5021
18.0	8.5	8.5021
18.14	8.5	8.5021
18.27	8.5	8.5021
18.49	9.0	8.5024
18.63	9.0	8.5024
18.75	9.0	8.5024
18.88	9.0	8.5024
19.01	9.0	9.003
